Retailer,ELEC June 2013,ELEC June 2014,ELEC June 2015,ELEC June 2016,ELEC Sep 2016,ELEC Dec 2016,ELEC March 2017
Aurora Energy,408,987,1663,2065,2105,2199,2154
TOTAL,408,987,1663,2065,2105,2199,2154
