Retailer,ELEC 2009-10,ELEC 2010-11,ELEC 2011-12,ELEC 2012-13,ELEC 2013-14,ELEC 2014-15,ELEC 2015-16,ELEC Q1 2016-17,ELEC Q2 2016-17,ELEC Q3 2016-17
Aurora Energy,1396,958,178,1057,1555,1046,1172,241,230,258
TOTAL,1396,958,178,1057,1555,1046,1172,241,230,258
