Retailer,ELEC June 2013,ELEC June 2014,ELEC June 2015,ELEC Sep 2015,ELEC Dec 2015,ELEC Mar 2016,ELEC June 2016,ELEC Sep 2016,ELEC Dec 2016,ELEC March 2017
Aurora Energy,3605,2956,2376,2565,2239,2115,2085,2366,2658,2693
TOTAL,3605,2956,2376,2565,2239,2115,2085,2366,2658,2693
