Quarter - Year,Residential electricity customers with debt,Average residential electricity debt ($),Residential gas customers with debt ,Average residential gas debt ($),Small business electricity customers with debt ,Average small business electricity debt ($),Small business gas customers with debt ,Average small business gas debt ($)
Sep-15,39234,562,4836,329,2550,1961,363,1494
Dec-15,38459,582,5661,347,2723,1831,570,1604
Mar-16,38789,542,5753,334,3070,1446,669,1124
Jun-16,47924,502,5815,323,4167,1639,505,834
Sep-16,45280,543,5872,343,4361,1898,675,857
Dec-16,39748,569,6722,360,3792,2224,570,941
Mar-17,39774,567,7428,361,3604,1712,581,1126
