Retailer,ELEC June 2013,ELEC June 2014,ELEC June 2015,ELEC June 2016,ELEC Sep 2016,ELEC Dec 2016,ELEC March 2017,GAS June 2013,GAS June 2014,GAS June 2015,GAS June 2016,GAS Sep 2016,GAS Dec 2016,GAS March 2017
ActewAGL,160463,164464,164429,163003,162682,162675,161887,106642,110946,112336,111258,110240,109509,110366
Other retailers,6465,6491,8877,13950,14770,16028,16917,4317,4613,6668,9159,9615,10028,10687
TOTAL,166928,170955,173306,176953,177452,178703,178804,110959,115559,119004,120417,119855,119537,121053
