Retailer,ELEC June 2014,ELEC June 2015,ELEC June 2016,ELEC Sep 2016,ELEC Dec 16,ELEC March 17,GAS June 2014,GAS June 2015,Gas June 2016,GAS Sep 2016,GAS Dec 16,GAS March 17
AGL,766506,756472,768201,767832,766403,776777,699624,680725,667558,662898,656250,660097
EnergyAustralia,1003642,1012329,1008366,1002020,999769,997102,257702,282932,308085,317182,332609,338681
Origin Energy,1261606,1235660,1196720,1190968,1184120,1175130,229485,256005,267461,270698,273550,274382
Other retailers,240291,315511,384969,403608,427595,443349,36805,42563,53853,54787,59409,65647
TOTAL,3272045,3319972,3358256,3364428,3377887,3392358,1223616,1262225,1296957,1305565,1321818,1338807
