Retailer,ELEC June 2013,ELEC June 2014,ELEC June 2015,ELEC June 2016,ELEC Sep 2016,ELEC Dec 2016,ELEC March 2017,GAS June 2013,GAS June 2014,GAS June 2015,GAS June 2016,GAS Sep 2016,GAS Dec 2016,GAS March 2017
AGL,410146,400275,390734,381782,377741,373526,366486,129414,127829,130130,131811,131197,130916,131675
EnergyAustralia,85143,83805,83754,83856,83170,82912,82855,52326,53290,54105,55405,55440,55456,55589
Origin Energy,160023,161838,163307,170730,175682,181554,190688,194614,185068,184060,183162,183995,184967,185750
Other retailers,165052,184693,203246,211653,209026,209242,207438,32755,42240,48373,52345,52874,53932,53918
TOTAL,820364,830611,841041,848021,845619,847234,847467,409109,408427,416668,422723,423506,425271,426932
